stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1258,,"Namatjira Dr opp St John Vianney",, -35.352146, 149.053757,,,0
1259,,"Namatjira Dr Northbound after Streeton Dr",, -35.355198, 149.050491,,,0
1260,,"Namatjira Dr St John Vianney",, -35.351921, 149.054153,,,0
1263,,"Namatjira Dr after Badimara St",, -35.355034, 149.050873,,,0
1264,,"Namatjira Dr Southbound after Streeton Dr",, -35.358482, 149.047943,,,0
1269,,"Namatjira Dr after Perry Dr",, -35.358208, 149.047882,,,0
1272,,"Kambah Pool Rd after Namatjira Dr",, -35.375137, 149.048965,,,0
1273,,"Kambah Pool Rd after Barritt St",, -35.375340, 149.048615,,,0
1274,,"Barritt St after Kambah Pool Rd",, -35.377991, 149.048370,,,0
1275,,"Barritt St before Kambah Pool Rd",, -35.378094, 149.048294,,,0
1276,,"Barritt St after Bacchus Cct",, -35.380211, 149.051865,,,0
1277,,"Barritt St after Boddington Cr",, -35.379860, 149.051193,,,0
1278,,"Boddington Cr 2nd after Carleton St",, -35.381210, 149.051773,,,0
1279,,"Boddington Cr after Carleton St",, -35.382092, 149.051147,,,0
1280,,"Boddington Cr after Barritt St",, -35.382088, 149.051285,,,0
1281,,"Boddington Cr before Castley Cct",, -35.385033, 149.050568,,,0
1282,,"Boddington Cr after 2nd Crozier Cct",, -35.385777, 149.050415,,,0
1283,,"Boddington Cr after 2nd Castley Cct",, -35.389282, 149.051636,,,0
1284,,"Boddington Cr after Bateman St",, -35.389191, 149.051361,,,0
1285,,"Boddington Cr before Mcleod Pl",, -35.390041, 149.053650,,,0
1286,,"Boddington Cr before O'Halloran Cct",, -35.389198, 149.056656,,,0
1287,,"Boddington Cr after McLeod Pl",, -35.390316, 149.053802,,,0
1288,,"Boddington Cr after O'Halloran Cct",, -35.389393, 149.057159,,,0
1289,,"O'Halloran Cct after Springbett St",, -35.390377, 149.059036,,,0
1290,,"O'Halloran Cct after 2nd McKillop Cct",, -35.390362, 149.058853,,,0
1291,,"O'Halloran Cct after 2nd Springbett St",, -35.392910, 149.058197,,,0
1292,,"O'Halloran Cct after 1st McKillop Cct",, -35.393120, 149.058014,,,0
1293,,"O'Halloran Cct before Snodgrass Cr",, -35.395622, 149.059250,,,0
1294,,"O'Halloran Cct 2nd after Vansittart Cr",, -35.395813, 149.059280,,,0
1295,,"O'Halloran Cct after Snodgrass Cr",, -35.395790, 149.062881,,,0
1296,,"O'Halloran Cct after Vansittart Cr",, -35.395920, 149.062897,,,0
1297,,"O'Halloran Cct after 2nd Jenke Cct",, -35.394100, 149.065918,,,0
1298,,"O'Halloran Cct after 2nd Snodgrass Cr",, -35.393970, 149.065796,,,0
1299,,"O'Halloran Cct after Caltex Service Station",, -35.393074, 149.067673,,,0
13,,"Tuggeranong Bus Station",, -35.414875, 149.066193,,,0
1300,,"O'Halloran Cct Namadji School Kambah",, -35.392578, 149.068207,,,0
